,0,1,2,3,4,5,6,7,8,9,10
2017/10/10,-0.570450988,0.034518895,-2.247894847,-4.77337097,-0.009600469,-0.04495807,-0.662210695,-0.912154092,2.364420364,0.118510913,-0.284383152
2017/10/11,0.44275517,0.059618081,-2.118961173,1.264519935,-0.216265691,0.058580578,-0.506140495,-1.614395388,4.270367276,0.076869448,0.28874444
2017/10/12,0.882886705,-2.174954809,-4.375392405,-2.552917734,-0.036961835,0.044532614,-1.036244154,-2.263199277,-1.376493579,0.128083935,0.291649789
2017/10/13,1.259295231,-0.288113615,-3.446979351,4.530360612,0.000780781,0.076590018,-0.578976979,-1.161433311,0.509087288,0.158593625,0.51652418
2017/10/14,1.159722264,-0.310532621,-4.720595061,-0.484149401,-0.144795008,0.049850775,-0.952078969,-2.331008474,4.46361089,0.099885127,-0.132156206
2017/10/15,0.453725641,-0.790406665,-2.587868833,-1.180343579,-0.023846308,0.042105218,-1.372075429,-1.893142263,-1.636867591,-0.030111327,0.470822373
2017/10/16,0.802905023,0.046178013,-3.166083757,-3.831860705,-0.026487254,0.038864827,-1.328548857,-1.214135408,0.848003156,0.13982671,0.170472573
2017/10/17,0.349448581,0.571648182,-2.486300024,2.054203376,-0.039543443,0.081653108,-0.782938816,-0.879269536,2.873409904,0.118402677,0.01266193
2017/10/18,0.996996614,0.166197271,-6.035599374,-3.245988347,-0.035802359,0.076063284,-1.12256911,-0.702667324,4.844574459,0.080482716,0.249724945
2017/10/19,0.620509716,-2.35809441,-5.920222646,0.030891264,-0.017486613,0.060333143,-1.058276122,-0.753795232,2.177010339,0.104448929,0.137569101
2017/10/20,0.9438556,-0.558833069,-5.236960851,0.441771586,-0.028468337,-0.160950771,-1.606693344,-1.621387598,-0.125692753,0.002455263,-0.023944839
2017/10/21,1.090416225,-0.12592902,-6.212674748,-1.809242172,-0.01771342,0.071540945,-1.652203694,-1.190356225,-1.756324614,-0.037485314,-0.13019375
2017/10/22,-0.017897598,-0.265801415,-1.804371408,-3.365057822,-0.038075697,0.086994571,-1.244515774,-1.417926586,3.585638697,0.089810568,-0.445359408
2017/10/23,-0.201549636,-0.489487522,-4.260318996,-4.152245965,-0.051450259,-0.026854707,-0.642921386,-1.349335121,3.336236588,0.108571811,-0.243281402
2017/10/24,-1.817256198,0.274488811,-4.194375413,-1.411767867,-0.049194927,0.055146189,-1.335044053,-1.083167392,1.302697058,0.135809331,-0.063852895
2017/10/25,0.457118082,-0.711740334,-4.308719575,-3.216075758,-0.043890226,0.048588739,-1.983648662,-1.267991487,4.652044539,0.079445062,0.251742377
2017/10/26,0.575424635,-0.76603384,-3.35143057,-2.281880012,-0.051444565,0.041750569,-1.303655838,-1.404368796,1.608508443,0.079365153,-0.074649843
2017/10/27,1.033733143,-0.334912017,-3.290992845,-3.627498434,-0.044870293,0.030461245,-1.530383008,-1.923995895,1.668231357,0.085961847,-1.118616566
2017/10/28,-0.068677539,-0.697161277,-3.526574891,-2.213097436,-0.060107281,0.038478922,-1.011083182,-1.88694271,0.055175631,0.112227318,-0.302996373
2017/10/29,1.438485289,-0.512363486,-4.436845652,-2.032727541,-0.05530654,0.038605843,-1.432747866,-1.432094541,0.448180761,0.114516543,-0.208247727
2017/10/30,0.57451883,-0.070768455,-3.79308811,-3.475131734,-0.073269468,0.050522108,-0.56122857,-0.997635638,2.112320073,0.108520586,-0.071690534
2017/10/31,-0.061940593,0.177601623,-2.463099699,-2.642956106,-0.08527909,0.034798831,-0.490833984,-1.673135709,2.2797531,-0.073007362,-0.191168362
2017/11/1,0.644610018,0.313757089,-3.529998409,-0.48835088,-0.039272713,0.038523602,-1.078656883,-2.316318466,0.358182103,0.0919602,0.371679378
2017/11/2,1.222996654,0.148740796,-2.467497407,-0.667449587,-0.046674686,0.026809996,-0.720178848,-1.877243961,-0.871609082,0.142768122,0.338875883
2017/11/3,0.690271065,-0.150656379,-3.547311105,1.932107566,-0.215885311,0.029967471,-0.85894223,-1.579150912,1.308432224,0.101116734,0.009189258
2017/11/4,-0.41013519,-0.138253341,-3.060498211,1.882923183,-0.196639345,0.030606982,-1.021209444,-1.203154636,-0.509232535,0.119881545,0.557519946
2017/11/5,-0.136084229,-0.021087569,-3.981870103,-3.171111826,-0.034605718,0.022034675,-1.620144351,-1.445647849,4.272986291,0.107482456,0.162949348
2017/11/6,0.443899565,0.455501297,-2.186065992,0.999966146,-0.014641851,0.026854903,-1.465798882,-0.969425384,-3.38884741,-0.406058071,0.228071575
